Rake,UCT,V,SCF,TEMP
-3,0.1,100,874,164
-3,0.1,200,895,184
-3,0.1,400,945,208
-3,0.1,600,890,221
-3,0.1,800,931,228
-3,0.1,1000,848,233
-3,0.1,1200,922,237
-3,0.2,100,733,182
-3,0.2,200,750,199
-3,0.2,400,757,217
-3,0.2,600,758,227
-3,0.2,800,780,232
-3,0.2,1000,755,236
-3,0.2,1200,782,242
-3,0.3,100,675,189
-3,0.3,200,687,209
-3,0.3,400,693,231
-3,0.3,600,694,244
-3,0.3,800,695,245
-3,0.3,1000,687,259
-3,0.3,1200,701,261
-3,0.4,100,700,191
-3,0.4,200,709,206
-3,0.4,400,707,214
-3,0.4,600,708,236
-3,0.4,800,705,230
-3,0.4,1000,683,262
-3,0.4,1200,684,264
0,0.1,100,859,161
0,0.1,200,875,181
0,0.1,400,911,204
0,0.1,600,743,216
0,0.1,800,859,225
0,0.1,1000,872,230
0,0.1,1200,963,234
0,0.2,100,705,179
0,0.2,200,721,193
0,0.2,400,738,215
0,0.2,600,738,220
0,0.2,800,735,225
0,0.2,1000,750,230
0,0.2,1200,767,234
0,0.3,100,658,175
0,0.3,200,660,203
0,0.3,400,668,223
0,0.3,600,668,231
0,0.3,800,669,240
0,0.3,1000,667,246
0,0.3,1200,678,249
0,0.4,100,681,188
0,0.4,200,680,202
0,0.4,400,657,219
0,0.4,600,643,234
0,0.4,800,678,233
0,0.4,1000,709,245
0,0.4,1200,626,244
5,0.1,100,806,156
5,0.1,200,817,177
5,0.1,400,791,199
5,0.1,600,836,199
5,0.1,800,916,218
5,0.1,1000,820,222
5,0.1,1200,707,227
5,0.2,100,664,169
5,0.2,200,677,183
5,0.2,400,696,199
5,0.2,600,700,206
5,0.2,800,724,209
5,0.2,1000,700,212
5,0.2,1200,668,216
5,0.3,100,618,180
5,0.3,200,651,208
5,0.3,400,631,211
5,0.3,600,631,225
5,0.3,800,639,229
5,0.3,1000,632,234
5,0.3,1200,629,239
5,0.4,100,637,179
5,0.4,200,587,205
5,0.4,400,579,220
5,0.4,600,601,236
5,0.4,800,596,235
5,0.4,1000,599,254
5,0.4,1200,599,259
8,0.1,100,758,150
8,0.1,200,780,174
8,0.1,400,795,196
8,0.1,600,821,206
8,0.1,800,755,212
8,0.1,1000,787,216
8,0.1,1200,724,218
8,0.2,100,637,166
8,0.2,200,647,178
8,0.2,400,644,192
8,0.2,600,636,200
8,0.2,800,646,204
8,0.2,1000,671,207
8,0.2,1200,692,210
8,0.3,100,594,174
8,0.3,200,605,190
8,0.3,400,605,206
8,0.3,600,610,216
8,0.3,800,623,222
8,0.3,1000,619,227
8,0.3,1200,593,233
8,0.4,100,560,172
8,0.4,200,567,187
8,0.4,400,563,219
8,0.4,600,573,233
8,0.4,800,581,241
8,0.4,1000,567,242
8,0.4,1200,597,247
15,0.1,100,703,146
15,0.1,200,699,169
15,0.1,400,656,190
15,0.1,600,709,199
15,0.1,800,595,204
15,0.1,1000,700,208
15,0.1,1200,733,214
15,0.2,100,583,155
15,0.2,200,596,171
15,0.2,400,601,185
15,0.2,600,616,195
15,0.2,800,598,200
15,0.2,1000,600,205
15,0.2,1200,552,210
15,0.3,100,547,160
15,0.3,200,558,175
15,0.3,400,559,195
15,0.3,600,571,206
15,0.3,800,556,211
15,0.3,1000,561,217
15,0.3,1200,511,223
15,0.4,100,515,172
15,0.4,200,518,189
15,0.4,400,524,205
15,0.4,600,532,213
15,0.4,800,527,218
15,0.4,1000,527,226
15,0.4,1200,506,229
17.5,0.1,100,678,144
17.5,0.1,200,675,167
17.5,0.1,400,677,186
17.5,0.1,600,683,203
17.5,0.1,800,680,201
17.5,0.1,1000,698,208
17.5,0.1,1200,794,215
17.5,0.2,100,565,153
17.5,0.2,200,572,167
17.5,0.2,400,581,184
17.5,0.2,600,582,192
17.5,0.2,800,587,207
17.5,0.2,1000,581,206
17.5,0.2,1200,556,213
17.5,0.3,100,526,158
17.5,0.3,200,540,170
17.5,0.3,400,544,182
17.5,0.3,600,539,205
17.5,0.3,800,542,211
17.5,0.3,1000,540,215
17.5,0.3,1200,494,219
17.5,0.4,100,501,166
17.5,0.4,200,501,191
17.5,0.4,400,496,201
17.5,0.4,600,512,211
17.5,0.4,800,502,222
17.5,0.4,1000,505,222
17.5,0.4,1200,458,225
20,0.1,100,648,143
20,0.1,200,635,166
20,0.1,400,648,185
20,0.1,600,697,193
20,0.1,800,724,207
20,0.1,1000,725,201
20,0.1,1200,702,222
20,0.2,100,546,151
20,0.2,200,549,165
20,0.2,400,562,182
20,0.2,600,579,194
20,0.2,800,566,206
20,0.2,1000,565,209
20,0.2,1200,539,218
20,0.3,100,509,155
20,0.3,200,516,166
20,0.3,400,518,180
20,0.3,600,527,198
20,0.3,800,514,214
20,0.3,1000,518,220
20,0.3,1200,530,228
20,0.4,100,492,158
20,0.4,200,486,180
20,0.4,400,483,198
20,0.4,600,502,210
20,0.4,800,470,212
20,0.4,1000,453,226
20,0.4,1200,495,232
